epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8295,1.52464,2.82859,0.00908,0.02185,0.73016,0.47835,0.3101,1.15848,3.54295,0.00735,0.000546249,0.000546249,0.000546249
2,64.557,1.44408,1.72943,0.00849,0.82313,0.72394,0.83463,0.52703,1.25541,1.96008,0.00912,0.00109828,0.00109828,0.00109828
3,88.0954,1.44043,1.42813,0.00854,0.84497,0.77392,0.8682,0.5344,1.36469,1.33462,0.0093,0.00164664,0.00164664,0.00164664
4,112.569,1.43045,1.24898,0.0085,0.82698,0.8319,0.88714,0.56949,1.24853,1.09888,0.00858,0.0016505,0.0016505,0.0016505
5,136.319,1.42204,1.12236,0.00845,0.86187,0.81343,0.89627,0.5826,1.23327,0.92487,0.00829,0.001645,0.001645,0.001645
6,159.848,1.39286,1.03546,0.00802,0.8664,0.81673,0.90086,0.54101,1.38438,0.86702,0.009,0.00163949,0.00163949,0.00163949
7,183.222,1.37088,0.97567,0.00807,0.8918,0.83771,0.91267,0.58596,1.25346,0.82608,0.00776,0.00163399,0.00163399,0.00163399
8,206.589,1.37609,0.9398,0.00805,0.89151,0.85257,0.92048,0.57054,1.40027,0.74774,0.00935,0.00162849,0.00162849,0.00162849
9,231.738,1.35836,0.91272,0.00784,0.89694,0.86793,0.9313,0.64463,1.12152,0.66124,0.00696,0.00162299,0.00162299,0.00162299
10,255.818,1.36019,0.89166,0.00803,0.89681,0.86119,0.92935,0.60549,1.25782,0.72827,0.00836,0.00161749,0.00161749,0.00161749
11,279.715,1.34172,0.86909,0.00785,0.90283,0.86553,0.93358,0.63308,1.14,0.66438,0.00729,0.00161199,0.00161199,0.00161199
12,302.075,1.33713,0.84755,0.00793,0.90634,0.86621,0.92897,0.57799,1.38433,0.65332,0.00917,0.00160649,0.00160649,0.00160649
13,324.319,1.32674,0.83983,0.00785,0.91898,0.86594,0.93373,0.61116,1.27524,0.62931,0.00819,0.00160099,0.00160099,0.00160099
14,347.318,1.32345,0.81066,0.00784,0.9033,0.88338,0.93842,0.67585,1.03836,0.55805,0.00624,0.00159549,0.00159549,0.00159549
15,369.938,1.31463,0.80797,0.00779,0.92072,0.87918,0.94232,0.62425,1.24149,0.60534,0.00808,0.00158998,0.00158998,0.00158998
16,391.943,1.3181,0.7968,0.00768,0.92958,0.87324,0.94059,0.65743,1.09242,0.5555,0.00661,0.00158448,0.00158448,0.00158448
17,413.962,1.30224,0.79237,0.00748,0.91118,0.88588,0.93846,0.6397,1.17921,0.61457,0.00741,0.00157898,0.00157898,0.00157898
18,436.35,1.30276,0.77318,0.00754,0.92495,0.88618,0.94155,0.64083,1.17271,0.57292,0.00748,0.00157348,0.00157348,0.00157348
19,458.727,1.29382,0.74645,0.00753,0.93205,0.88546,0.94382,0.65879,1.13617,0.54459,0.007,0.00156798,0.00156798,0.00156798
20,480.615,1.28101,0.75357,0.00731,0.92202,0.89082,0.94562,0.64775,1.13419,0.55828,0.00669,0.00156248,0.00156248,0.00156248
21,502.831,1.29334,0.75537,0.00771,0.91888,0.90179,0.95084,0.64386,1.18218,0.53603,0.0077,0.00155698,0.00155698,0.00155698
22,525.331,1.2861,0.74782,0.00763,0.92295,0.89769,0.94827,0.66972,1.09956,0.52605,0.00661,0.00155148,0.00155148,0.00155148
23,548.45,1.28496,0.73516,0.00729,0.92357,0.8799,0.94085,0.63307,1.19138,0.56618,0.00738,0.00154598,0.00154598,0.00154598
24,570.672,1.28274,0.73199,0.00746,0.92735,0.89927,0.95307,0.686,1.01928,0.50698,0.00618,0.00154047,0.00154047,0.00154047
25,592.955,1.25458,0.71136,0.00732,0.93337,0.90039,0.953,0.65741,1.12918,0.50015,0.00695,0.00153497,0.00153497,0.00153497
26,615.341,1.26793,0.7176,0.00727,0.93354,0.89456,0.94612,0.65771,1.14584,0.53211,0.00743,0.00152947,0.00152947,0.00152947
