epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9164,1.27025,2.82191,0.00661,0.0226,0.75582,0.50507,0.36973,0.98649,3.47188,0.00548,0.000546249,0.000546249,0.000546249
2,57.6531,1.1545,1.60665,0.00614,0.8128,0.69288,0.82058,0.60155,0.97765,1.9463,0.0056,0.00109646,0.00109646,0.00109646
3,77.9375,1.14151,1.2268,0.00594,0.80372,0.80642,0.8745,0.61072,1.09062,1.18606,0.00694,0.00164117,0.00164117,0.00164117
4,98.0836,1.13679,1.03437,0.00603,0.84135,0.82769,0.89687,0.62413,1.07413,0.9829,0.00665,0.00164225,0.00164225,0.00164225
5,118.109,1.11865,0.91172,0.00602,0.88996,0.83873,0.91584,0.65023,1.03406,0.81895,0.00633,0.00163399,0.00163399,0.00163399
6,138.484,1.09106,0.8221,0.00578,0.87425,0.85633,0.91434,0.65664,1.02806,0.68812,0.00611,0.00162574,0.00162574,0.00162574
7,158.645,1.08542,0.77263,0.00576,0.90211,0.85252,0.92593,0.67282,0.98002,0.67851,0.00581,0.00161749,0.00161749,0.00161749
8,178.691,1.07174,0.72536,0.0057,0.90546,0.85497,0.92823,0.68418,0.96227,0.63231,0.0056,0.00160924,0.00160924,0.00160924
9,198.933,1.06376,0.68497,0.00573,0.90948,0.87476,0.9408,0.69286,0.97002,0.55403,0.00591,0.00160099,0.00160099,0.00160099
10,219.02,1.05898,0.66053,0.00545,0.90573,0.86259,0.9325,0.66511,1.00244,0.5974,0.00589,0.00159274,0.00159274,0.00159274
11,239.519,1.04773,0.64858,0.00542,0.90876,0.88223,0.94048,0.69009,0.97495,0.55274,0.00591,0.00158448,0.00158448,0.00158448
12,259.661,1.04027,0.632,0.00553,0.9088,0.88426,0.94256,0.69436,0.95502,0.51482,0.00543,0.00157623,0.00157623,0.00157623
13,279.808,1.03578,0.61882,0.00526,0.90981,0.89132,0.94428,0.6984,0.95368,0.51949,0.0055,0.00156798,0.00156798,0.00156798
14,300.347,1.03062,0.61096,0.00541,0.91222,0.88805,0.94353,0.71201,0.92921,0.50446,0.00542,0.00155973,0.00155973,0.00155973
15,320.392,1.00502,0.59641,0.00542,0.93239,0.88093,0.94321,0.7006,0.95256,0.48976,0.00571,0.00155148,0.00155148,0.00155148
16,340.441,1.01266,0.5813,0.00548,0.93264,0.89635,0.94827,0.71336,0.91361,0.45774,0.00519,0.00154323,0.00154323,0.00154323
