epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.321,1.508,3.27666,0.00405,0.03064,0.77097,0.25736,0.16883,1.21986,3.29638,0.00428,0.00028,0.00028,0.00028
2,26.1498,1.37863,2.02829,0.00354,0.03232,0.81338,0.14978,0.11194,1.13228,3.00376,0.00396,0.000572823,0.000572823,0.000572823
3,30.7534,1.31494,1.6369,0.00333,0.03273,0.82375,0.12561,0.09192,1.08022,2.99156,0.00375,0.00085822,0.00085822,0.00085822
4,35.1531,1.27427,1.52397,0.00315,0.03629,0.83129,0.56494,0.41119,1.01701,2.5395,0.00359,0.00113619,0.00113619,0.00113619
5,39.2706,1.24426,1.36672,0.00313,0.94784,0.2328,0.6985,0.49639,1.13323,2.2417,0.00386,0.00140674,0.00140674,0.00140674
6,43.4885,1.27629,1.278,0.00325,0.83974,0.60249,0.79413,0.54824,1.09778,1.73929,0.00376,0.00166986,0.00166986,0.00166986
7,47.6004,1.22463,1.19941,0.00303,0.82548,0.67762,0.8203,0.54889,1.20395,1.48355,0.00439,0.0018515,0.0018515,0.0018515
8,51.9525,1.2756,1.15966,0.00312,0.79773,0.73893,0.83486,0.59843,1.07528,1.16902,0.00413,0.00182675,0.00182675,0.00182675
9,56.3019,1.23324,1.07289,0.00305,0.7847,0.75118,0.83442,0.61018,1.05873,1.0312,0.00391,0.001802,0.001802,0.001802
10,60.6319,1.15344,1.01301,0.00285,0.83052,0.75748,0.86251,0.63443,1.02651,0.98444,0.00357,0.00177725,0.00177725,0.00177725
11,64.8904,1.15305,0.976,0.00288,0.81933,0.77191,0.87052,0.65057,0.97932,0.87291,0.00328,0.0017525,0.0017525,0.0017525
12,69.1612,1.15092,0.92045,0.00283,0.84184,0.78765,0.88364,0.64806,1.01217,0.84811,0.00349,0.00172775,0.00172775,0.00172775
13,73.492,1.11995,0.89232,0.0028,0.84282,0.77851,0.87933,0.61414,1.1094,0.87208,0.00365,0.001703,0.001703,0.001703
14,77.8747,1.14012,0.857,0.00271,0.8333,0.77568,0.87859,0.65568,0.95154,0.78432,0.00329,0.00167825,0.00167825,0.00167825
15,82.1962,1.08624,0.84139,0.00279,0.82604,0.80584,0.88388,0.67112,0.94865,0.74664,0.00346,0.0016535,0.0016535,0.0016535
16,86.4925,1.08872,0.80835,0.00267,0.8641,0.79707,0.89503,0.67165,0.94523,0.73752,0.00326,0.00162875,0.00162875,0.00162875
17,90.6172,1.0802,0.78497,0.00277,0.84495,0.80396,0.90045,0.6981,0.87336,0.70119,0.00296,0.001604,0.001604,0.001604
18,94.7003,1.10324,0.79125,0.00267,0.80515,0.8049,0.88656,0.66986,0.86944,0.7456,0.00295,0.00157925,0.00157925,0.00157925
19,98.9426,1.1074,0.78685,0.00262,0.85536,0.79548,0.89468,0.68535,0.90728,0.70614,0.00312,0.0015545,0.0015545,0.0015545
20,103.191,1.04754,0.76187,0.00255,0.83548,0.82323,0.9003,0.69865,0.888,0.67333,0.00306,0.00152975,0.00152975,0.00152975
21,107.454,1.02064,0.71428,0.00245,0.88653,0.80267,0.90286,0.70987,0.86776,0.64578,0.00302,0.001505,0.001505,0.001505
22,111.816,1.0569,0.723,0.0025,0.83749,0.83223,0.90138,0.6829,0.93037,0.65312,0.00318,0.00148025,0.00148025,0.00148025
23,116.08,1.03046,0.70151,0.00242,0.85461,0.83129,0.90719,0.71707,0.84337,0.62324,0.00284,0.0014555,0.0014555,0.0014555
24,120.508,1.05835,0.68231,0.00245,0.86393,0.82187,0.90932,0.70409,0.87847,0.62617,0.00297,0.00143075,0.00143075,0.00143075
25,124.975,1.00565,0.66773,0.00245,0.85645,0.85768,0.91822,0.71894,0.86312,0.60226,0.00297,0.001406,0.001406,0.001406
26,129.17,1.01627,0.65543,0.00237,0.86243,0.85108,0.92125,0.72434,0.8566,0.58012,0.00296,0.00138125,0.00138125,0.00138125
27,133.482,0.97091,0.62838,0.00239,0.92088,0.79359,0.91853,0.71931,0.87421,0.56935,0.00297,0.0013565,0.0013565,0.0013565
28,137.558,0.97953,0.6245,0.00221,0.89979,0.81244,0.92384,0.72858,0.84536,0.56335,0.00294,0.00133175,0.00133175,0.00133175
29,142.095,1.00231,0.62073,0.00236,0.88894,0.83789,0.92277,0.72997,0.83343,0.56042,0.00281,0.001307,0.001307,0.001307
30,146.363,0.97125,0.61217,0.00231,0.88952,0.83977,0.91998,0.728,0.85562,0.55085,0.00301,0.00128225,0.00128225,0.00128225
31,150.771,0.96343,0.60582,0.00237,0.90056,0.85014,0.92859,0.72734,0.86779,0.56013,0.00296,0.0012575,0.0012575,0.0012575
32,155.063,1.00252,0.61162,0.00233,0.89513,0.83665,0.92453,0.7283,0.83692,0.55123,0.00295,0.00123275,0.00123275,0.00123275
33,159.491,0.9845,0.61213,0.0023,0.88497,0.84543,0.9239,0.73813,0.8235,0.54828,0.00274,0.001208,0.001208,0.001208
34,163.87,0.96818,0.60321,0.00226,0.88261,0.84327,0.92566,0.73445,0.83508,0.56422,0.00281,0.00118325,0.00118325,0.00118325
35,168.127,0.94772,0.58337,0.00218,0.88726,0.85014,0.92675,0.74849,0.79972,0.52378,0.00271,0.0011585,0.0011585,0.0011585
36,172.179,0.92718,0.57097,0.00228,0.91071,0.846,0.92811,0.7421,0.81082,0.52136,0.0028,0.00113375,0.00113375,0.00113375
37,176.267,0.94951,0.56494,0.00228,0.90331,0.85862,0.93021,0.74336,0.80375,0.50775,0.00271,0.001109,0.001109,0.001109
38,180.308,0.99422,0.58478,0.00225,0.89605,0.85203,0.93026,0.74931,0.80301,0.51366,0.00271,0.00108425,0.00108425,0.00108425
39,184.52,1.00253,0.58001,0.00225,0.89645,0.85391,0.92679,0.74641,0.81856,0.50095,0.00275,0.0010595,0.0010595,0.0010595
40,188.679,0.94388,0.5405,0.00217,0.91344,0.8426,0.92868,0.73531,0.85946,0.50156,0.00302,0.00103475,0.00103475,0.00103475
41,192.933,0.97608,0.55625,0.0022,0.92375,0.836,0.93578,0.74635,0.80454,0.48914,0.00275,0.00101,0.00101,0.00101
42,197.402,0.94467,0.56154,0.0022,0.916,0.85203,0.93558,0.74386,0.83646,0.51007,0.00301,0.00098525,0.00098525,0.00098525
43,201.69,0.93324,0.54969,0.00226,0.8932,0.8558,0.9368,0.76036,0.76311,0.50502,0.00259,0.0009605,0.0009605,0.0009605
44,205.976,0.90504,0.52834,0.00207,0.88817,0.86835,0.9371,0.75531,0.78322,0.49348,0.00258,0.00093575,0.00093575,0.00093575
45,210.139,0.89612,0.52822,0.00222,0.91083,0.85679,0.9317,0.74837,0.80467,0.48907,0.00276,0.000911,0.000911,0.000911
46,214.336,0.91526,0.54519,0.00219,0.9097,0.84449,0.93594,0.76125,0.76823,0.47648,0.00255,0.00088625,0.00088625,0.00088625
47,218.554,0.91279,0.53158,0.00205,0.90675,0.86146,0.93648,0.7584,0.78456,0.47783,0.00254,0.0008615,0.0008615,0.0008615
48,222.646,0.91111,0.52953,0.00209,0.90997,0.86051,0.93473,0.75884,0.78698,0.48561,0.00274,0.00083675,0.00083675,0.00083675
49,226.865,0.92958,0.53851,0.00211,0.90612,0.85511,0.9354,0.75591,0.78305,0.48925,0.0026,0.000812,0.000812,0.000812
50,231.002,0.88818,0.52228,0.00207,0.90224,0.86985,0.93762,0.76417,0.78244,0.47287,0.00259,0.00078725,0.00078725,0.00078725
51,235.188,0.89118,0.5225,0.00211,0.91703,0.8646,0.93949,0.76208,0.7906,0.46236,0.00255,0.0007625,0.0007625,0.0007625
52,239.429,0.89456,0.52604,0.00201,0.90851,0.86239,0.9399,0.76567,0.77181,0.47856,0.00261,0.00073775,0.00073775,0.00073775
53,243.825,0.91436,0.52048,0.00209,0.92716,0.86378,0.94126,0.76412,0.77592,0.47125,0.00258,0.000713,0.000713,0.000713
54,248.175,0.90846,0.50541,0.00203,0.91857,0.87181,0.94215,0.76116,0.77739,0.46844,0.00267,0.00068825,0.00068825,0.00068825
55,252.204,0.88003,0.49502,0.00209,0.93159,0.85989,0.93929,0.77118,0.76073,0.46318,0.00255,0.0006635,0.0006635,0.0006635
