epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9962,1.26719,2.77193,0.00153,0.6644,0.65186,0.67142,0.48831,1.13438,1.93916,0.00173,0.000548721,0.000548721,0.000548721
2,57.5294,1.4321,2.24004,0.00201,0.82239,0.43175,0.65094,0.44612,1.314,2.07397,0.0024,0.00109072,0.00109072,0.00109072
3,83.9106,1.57689,1.86026,0.00251,0.64777,0.60577,0.61965,0.3214,1.58029,1.77673,0.00317,0.00161897,0.00161897,0.00161897
4,110.09,1.62316,1.80515,0.00226,0.78916,0.66557,0.72725,0.4047,1.56051,1.52736,0.00321,0.00160511,0.00160511,0.00160511
5,136.123,1.6464,1.80474,0.00277,0.72435,0.60569,0.63344,0.32609,1.68642,1.62846,0.00398,0.00158448,0.00158448,0.00158448
6,162.389,1.91995,1.82408,0.00371,0.57038,0.60621,0.60911,0.32853,1.77588,2.35217,0.00403,0.00156385,0.00156385,0.00156385
7,188.715,1.78519,2.14333,0.00308,0.66578,0.57477,0.63209,0.35369,1.59354,1.41184,0.00353,0.00154323,0.00154323,0.00154323
8,214.821,1.67701,1.42607,0.00291,0.744,0.71052,0.77195,0.43512,1.65961,1.33205,0.00399,0.0015226,0.0015226,0.0015226
9,241.136,1.84786,1.4364,0.00333,0.75975,0.67766,0.74185,0.36808,1.81055,1.20702,0.0045,0.00150197,0.00150197,0.00150197
10,269.351,1.79533,1.53878,0.00353,0.7478,0.67904,0.73358,0.41392,1.57825,1.48464,0.00339,0.00148134,0.00148134,0.00148134
11,296.95,1.71604,1.16686,0.00295,0.7808,0.77216,0.81411,0.45477,1.57126,0.96905,0.00365,0.00146071,0.00146071,0.00146071
12,324.739,1.69053,1.12073,0.00315,0.78407,0.7409,0.82212,0.48708,1.51408,0.96775,0.00347,0.00144008,0.00144008,0.00144008
13,351.863,1.60045,1.01238,0.00287,0.81718,0.76844,0.82867,0.51729,1.42463,0.90225,0.0031,0.00141945,0.00141945,0.00141945
14,379.817,1.4866,0.86742,0.00246,0.86271,0.76558,0.8357,0.52414,1.44236,0.77353,0.00301,0.00139882,0.00139882,0.00139882
15,407.387,1.44592,0.812,0.00237,0.85713,0.82827,0.8694,0.56263,1.35085,0.68031,0.00277,0.00137819,0.00137819,0.00137819
16,435.238,1.48701,0.78809,0.00226,0.86204,0.80242,0.86241,0.54943,1.41861,0.71329,0.00278,0.00135756,0.00135756,0.00135756
17,462.169,1.44669,0.75187,0.00241,0.88994,0.81027,0.86561,0.55341,1.37924,0.67916,0.00279,0.00133693,0.00133693,0.00133693
18,488.341,1.57684,0.74745,0.00236,0.89488,0.81212,0.85826,0.52374,1.44236,0.63807,0.00296,0.0013163,0.0013163,0.0013163
19,514.256,1.45205,0.70966,0.00239,0.87835,0.84242,0.87492,0.56961,1.29495,0.61392,0.00261,0.00129568,0.00129568,0.00129568
20,540.328,1.40416,0.67203,0.00223,0.87519,0.82987,0.8724,0.58373,1.26606,0.61282,0.00244,0.00127505,0.00127505,0.00127505
21,566.642,1.31148,0.65167,0.00198,0.87508,0.83919,0.8859,0.59518,1.25559,0.60991,0.00234,0.00125442,0.00125442,0.00125442
22,592.693,1.29053,0.61669,0.00183,0.87346,0.84657,0.88789,0.6003,1.24934,0.57468,0.00245,0.00123379,0.00123379,0.00123379
23,619.212,1.32295,0.61247,0.00238,0.88991,0.85308,0.89694,0.60608,1.22895,0.53615,0.0025,0.00121316,0.00121316,0.00121316
24,645.328,1.29356,0.56591,0.00187,0.91201,0.84689,0.90023,0.61279,1.21997,0.52919,0.00253,0.00119253,0.00119253,0.00119253
25,671.531,1.27906,0.56004,0.00188,0.91979,0.85178,0.90254,0.61665,1.20279,0.52692,0.00245,0.0011719,0.0011719,0.0011719
26,697.673,1.2602,0.57298,0.00195,0.91945,0.86034,0.9024,0.61676,1.21754,0.53134,0.00238,0.00115127,0.00115127,0.00115127
27,723.976,1.24183,0.54483,0.00202,0.91014,0.86951,0.90318,0.62135,1.17991,0.48903,0.00242,0.00113064,0.00113064,0.00113064
28,750.319,1.24244,0.53304,0.0019,0.91782,0.8485,0.90262,0.62334,1.18587,0.48051,0.00239,0.00111001,0.00111001,0.00111001
29,776.479,1.22674,0.54283,0.0016,0.90839,0.85828,0.9026,0.63493,1.13868,0.48308,0.00212,0.00108938,0.00108938,0.00108938
30,802.788,1.1757,0.52399,0.00166,0.92005,0.85946,0.91014,0.64571,1.11244,0.48274,0.00197,0.00106876,0.00106876,0.00106876
31,829.359,1.16637,0.48684,0.00154,0.92352,0.86722,0.91612,0.64454,1.13777,0.49239,0.00196,0.00104813,0.00104813,0.00104813
32,855.35,1.18069,0.51439,0.00163,0.92112,0.87359,0.90796,0.65093,1.11613,0.47632,0.0019,0.0010275,0.0010275,0.0010275
33,881.587,1.1983,0.51498,0.0017,0.92727,0.88284,0.91244,0.65818,1.09055,0.45366,0.0019,0.00100687,0.00100687,0.00100687
34,907.84,1.19054,0.49973,0.00143,0.93343,0.87947,0.91199,0.65807,1.07784,0.45417,0.00191,0.000986239,0.000986239,0.000986239
35,933.879,1.11914,0.4682,0.00153,0.92455,0.87883,0.90875,0.65557,1.09381,0.45542,0.00191,0.00096561,0.00096561,0.00096561
36,959.636,1.10507,0.46591,0.00151,0.93509,0.87637,0.91135,0.65804,1.07888,0.44045,0.00184,0.000944981,0.000944981,0.000944981
37,985.536,1.17796,0.48044,0.00141,0.92895,0.89272,0.91655,0.65384,1.09813,0.44387,0.00191,0.000924352,0.000924352,0.000924352
38,1011.56,1.17289,0.48011,0.00138,0.91443,0.88877,0.90768,0.65698,1.08251,0.44242,0.00188,0.000903722,0.000903722,0.000903722
39,1037.4,1.15676,0.47715,0.00142,0.92124,0.88973,0.91358,0.6551,1.11674,0.43599,0.00186,0.000883093,0.000883093,0.000883093
40,1063.04,1.12443,0.47169,0.00162,0.93214,0.89073,0.92173,0.66676,1.07562,0.42163,0.00179,0.000862464,0.000862464,0.000862464
41,1089.37,1.1399,0.45819,0.00142,0.94012,0.9003,0.92593,0.67027,1.0551,0.41945,0.00173,0.000841835,0.000841835,0.000841835
42,1115.67,1.08107,0.47584,0.00152,0.93276,0.89556,0.92265,0.67108,1.06257,0.41923,0.00169,0.000821206,0.000821206,0.000821206
43,1142.06,1.07058,0.44336,0.00134,0.93532,0.89197,0.92861,0.67712,1.06139,0.43009,0.00174,0.000800577,0.000800577,0.000800577
44,1168.37,1.0635,0.44697,0.0015,0.9317,0.89281,0.9191,0.66849,1.08481,0.41969,0.00181,0.000779948,0.000779948,0.000779948
45,1194.44,1.1034,0.44759,0.00142,0.93833,0.88575,0.92383,0.66602,1.09294,0.40473,0.00202,0.000759318,0.000759318,0.000759318
46,1220.4,1.06601,0.41841,0.00152,0.92456,0.89834,0.92021,0.67497,1.05712,0.40827,0.00194,0.000738689,0.000738689,0.000738689
47,1246.33,1.08307,0.43471,0.00139,0.9208,0.88135,0.91966,0.67477,1.05272,0.42383,0.00184,0.00071806,0.00071806,0.00071806
48,1272.01,1.06482,0.42455,0.00141,0.92237,0.88095,0.91846,0.68166,1.02825,0.4091,0.0018,0.000697431,0.000697431,0.000697431
