epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3309,1.9792,3.7433,0.00417,0.01277,0.21815,0.14806,0.09357,1.84737,3.74686,0.00444,0.00023338,0.00023338,0.00023338
2,27.4714,1.95613,2.60548,0.00346,0.01343,0.21264,0.10945,0.06814,1.87439,3.49958,0.00431,0.000481835,0.000481835,0.000481835
3,32.4568,1.8258,1.82172,0.00306,0.01456,0.23936,0.11994,0.08501,1.68121,3.26907,0.00352,0.000728639,0.000728639,0.000728639
4,37.5944,1.7956,1.64262,0.00285,0.02536,0.44162,0.31702,0.19918,1.70432,2.91666,0.00354,0.000973793,0.000973793,0.000973793
5,42.515,1.73653,1.45875,0.00269,0.64831,0.52331,0.55234,0.30295,1.797,2.44659,0.00369,0.0012173,0.0012173,0.0012173
6,47.4268,1.73672,1.35124,0.0027,0.94702,0.21536,0.62291,0.35433,1.67184,2.13613,0.00338,0.00145915,0.00145915,0.00145915
7,52.1907,1.69778,1.28246,0.00261,0.79299,0.51993,0.64912,0.35142,1.73239,1.67219,0.0035,0.00163399,0.00163399,0.00163399
8,56.8711,1.70579,1.22904,0.00254,0.73678,0.62279,0.68104,0.39564,1.59088,1.37526,0.00336,0.00162849,0.00162849,0.00162849
9,61.6167,1.63038,1.1476,0.00243,0.74332,0.64404,0.70154,0.42094,1.50157,1.24321,0.00298,0.00162299,0.00162299,0.00162299
10,66.29,1.61298,1.12667,0.00239,0.71507,0.67474,0.71501,0.4326,1.49046,1.08389,0.00293,0.00161749,0.00161749,0.00161749
11,71.0972,1.58119,1.07042,0.00232,0.74801,0.66108,0.72029,0.44661,1.44257,1.05741,0.00276,0.00161199,0.00161199,0.00161199
