life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,58.419,0,0,11.6856,37.6085,0.647,0.0,0.0,0.0,0.7649
2,33.6281,0,0,5.8769,19.5968,0.2039,0.0,0.0,0.0,0.2133
3,1871.3706,0,0,342.6386,1089.1589,0.7447,0.0,0.0,0.0,0.64
4,923.9877,0,0,166.8656,527.8642,0.9605,0.0,0.0,0.0,0.6736
5,50.1073,0,0,8.2591,24.6545,0.6725,0.0,0.0,0.0,0.3495
6,816.2511,0,0,148.3801,474.1696,0.7988,0.0,0.0,0.0,0.5228
7,570.9747,0,0,99.7607,331.989,0.4029,0.0,0.0,0.0,0.2305
8,829.4486,0,0,148.1416,460.1664,0.6544,0.0,0.0,0.0,0.4812
9,378.7721,0,0,67.8317,234.772,0.4813,0.0,0.0,0.0,0.3764
10,641.8858,0,0,118.0209,417.6275,0.6655,0.0,0.0,0.0,0.559
11,317697.9607,0,0,80.9439,240.3339,0.582,0.0,0.0,0.0,0.6532
