epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0648,1.60358,6.92161,0.01133,0.53456,0.2437,0.35041,0.18368,2.00559,6.06773,0.02331,0.00032,0.00032,0.00032
2,26.1742,1.5272,5.09065,0.01107,0.7497,0.45385,0.53618,0.30118,1.77966,4.19895,0.01763,0.000651833,0.000651833,0.000651833
3,33.2692,1.68393,3.98938,0.01184,0.42113,0.60606,0.42254,0.17656,2.4753,4.44576,0.02699,0.00097525,0.00097525,0.00097525
4,40.1621,1.50238,3.49847,0.01186,0.56853,0.21212,0.2395,0.093,2.47076,4.30239,0.02907,0.00129025,0.00129025,0.00129025
5,46.8271,1.99838,4.21572,0.0139,0.48279,0.45455,0.39762,0.10182,3.08043,8.69825,0.03542,0.00159684,0.00159684,0.00159684
6,53.6364,1.96933,3.07629,0.01323,0.38896,0.0303,0.0563,0.01638,3.26752,4.08498,0.03499,0.00187625,0.00187625,0.00187625
7,60.5006,2.13365,2.48146,0.01445,0.8004,0.09091,0.15351,0.07399,2.64665,4.12688,0.02894,0.0018515,0.0018515,0.0018515
8,67.4028,1.90673,2.29549,0.01285,0.70752,0.18182,0.1761,0.09185,3.04952,3.73105,0.03179,0.00182675,0.00182675,0.00182675
9,74.2297,2.04601,2.02621,0.01215,0.70936,0.51515,0.48416,0.19756,2.88516,2.59727,0.03096,0.001802,0.001802,0.001802
10,81.0228,1.77663,1.70625,0.01214,0.715,0.57576,0.64017,0.29698,2.44494,2.24785,0.02735,0.00177725,0.00177725,0.00177725
11,87.6603,1.99833,2.13687,0.01387,0.72216,0.51515,0.6031,0.29151,2.10995,5.27517,0.0227,0.0017525,0.0017525,0.0017525
12,94.5084,1.93811,1.68925,0.01532,0.79001,0.68429,0.70153,0.27457,2.36814,5.74091,0.02507,0.00172775,0.00172775,0.00172775
13,101.341,1.85714,1.34581,0.01207,0.79848,0.54545,0.69175,0.20672,2.79377,4.82898,0.0282,0.001703,0.001703,0.001703
14,107.987,2.08744,1.34149,0.01256,0.70592,0.65489,0.6909,0.27407,2.29524,1.85119,0.02408,0.00167825,0.00167825,0.00167825
15,114.571,1.73117,1.39414,0.01269,0.85415,0.75758,0.81576,0.39135,2.18273,1.8369,0.02276,0.0016535,0.0016535,0.0016535
16,121.753,1.80673,1.39011,0.01168,0.91975,0.75758,0.82886,0.38327,2.23905,2.27481,0.02288,0.00162875,0.00162875,0.00162875
17,128.663,1.83608,1.08536,0.01114,0.91591,0.66031,0.75972,0.34769,2.1082,3.10474,0.02215,0.001604,0.001604,0.001604
18,135.251,1.54707,1.0212,0.01042,0.95499,0.64311,0.70857,0.37517,2.16962,5.54323,0.02302,0.00157925,0.00157925,0.00157925
19,142.085,1.62449,1.11094,0.01132,0.84225,0.81818,0.83033,0.4162,1.99773,2.21749,0.02083,0.0015545,0.0015545,0.0015545
20,149.416,1.76659,1.12759,0.01322,0.94889,0.81818,0.88108,0.43645,2.24762,1.112,0.02413,0.00152975,0.00152975,0.00152975
21,156.476,1.76263,1.05393,0.01103,1,0.75741,0.89774,0.42676,2.2585,1.05382,0.02289,0.001505,0.001505,0.001505
22,163.362,1.70923,1.08175,0.01057,0.89585,0.7821,0.86185,0.40686,2.29158,1.12124,0.02361,0.00148025,0.00148025,0.00148025
23,169.927,1.59328,1.11288,0.00997,0.93095,0.81714,0.89434,0.43166,2.23073,1.25698,0.02284,0.0014555,0.0014555,0.0014555
24,176.468,1.58954,0.91266,0.00907,0.96248,0.77767,0.88441,0.48816,2.18268,1.04154,0.02262,0.00143075,0.00143075,0.00143075
25,183.71,1.60469,0.96464,0.00995,0.9773,0.72727,0.88988,0.50132,2.03998,0.9994,0.02036,0.001406,0.001406,0.001406
26,190.838,1.47703,0.98073,0.01034,0.8999,0.87879,0.89926,0.49312,2.16778,0.8798,0.02181,0.00138125,0.00138125,0.00138125
27,197.509,1.47051,0.96018,0.00941,0.92497,0.75758,0.87644,0.49182,2.02024,1.34905,0.02067,0.0013565,0.0013565,0.0013565
28,204.232,1.46374,0.78655,0.00839,0.92696,0.84848,0.89325,0.51377,2.11415,0.9851,0.02225,0.00133175,0.00133175,0.00133175
29,211.246,1.5336,0.8907,0.00948,0.99225,0.84848,0.9206,0.47429,2.09638,0.89763,0.02206,0.001307,0.001307,0.001307
30,217.849,1.40484,0.77734,0.0085,0.95969,0.81818,0.92356,0.48493,2.05861,1.0121,0.02138,0.00128225,0.00128225,0.00128225
31,224.594,1.43272,0.8835,0.00928,0.93525,0.78788,0.88153,0.48985,2.03736,1.00024,0.02052,0.0012575,0.0012575,0.0012575
32,231.197,1.49258,0.77821,0.01015,0.89493,0.87879,0.90405,0.47907,2.07205,0.97038,0.0205,0.00123275,0.00123275,0.00123275
33,237.815,1.3965,0.67682,0.00832,1,0.78413,0.89046,0.50971,2.06382,0.91575,0.02071,0.001208,0.001208,0.001208
34,244.504,1.37875,0.71173,0.00881,0.96636,0.8708,0.91465,0.50629,2.13479,0.97379,0.02182,0.00118325,0.00118325,0.00118325
35,251.23,1.40799,0.70409,0.00815,0.9662,0.86649,0.91157,0.49133,2.04989,0.99669,0.02126,0.0011585,0.0011585,0.0011585
36,257.715,1.59808,0.77633,0.0103,0.99929,0.84848,0.89543,0.49636,1.9666,0.98088,0.02043,0.00113375,0.00113375,0.00113375
37,264.436,1.26147,0.77099,0.00788,0.96734,0.89766,0.90306,0.48972,1.93172,1.01941,0.01999,0.001109,0.001109,0.001109
38,271.338,1.35375,0.73907,0.00888,0.98869,0.90909,0.92195,0.48136,2.05902,1.00521,0.02156,0.00108425,0.00108425,0.00108425
39,277.946,1.48328,0.72331,0.00837,1,0.87514,0.93026,0.50568,2.0838,0.83077,0.02244,0.0010595,0.0010595,0.0010595
40,284.633,1.40435,0.74388,0.00838,0.95957,0.84848,0.91589,0.50395,2.13006,0.73447,0.02314,0.00103475,0.00103475,0.00103475
41,291.328,1.17318,0.69404,0.00793,1,0.81545,0.9207,0.50705,2.14406,0.84076,0.02322,0.00101,0.00101,0.00101
42,297.989,1.47798,0.74239,0.00803,0.9713,0.81818,0.91689,0.51377,2.06167,0.80608,0.0216,0.00098525,0.00098525,0.00098525
43,305.227,1.40344,0.69226,0.00838,0.93123,0.90909,0.91919,0.52213,2.0005,0.92446,0.02077,0.0009605,0.0009605,0.0009605
44,312.442,1.39774,0.79684,0.00796,0.96477,0.81818,0.90475,0.5274,2.10099,0.95555,0.02189,0.00093575,0.00093575,0.00093575
45,319.552,1.27979,0.67107,0.00791,0.93123,0.87879,0.89655,0.54715,2.07991,0.92959,0.02191,0.000911,0.000911,0.000911
46,326.898,1.29505,0.62157,0.00777,0.91094,0.87879,0.91591,0.51165,2.09605,0.82828,0.02216,0.00088625,0.00088625,0.00088625
47,333.791,1.24966,0.63854,0.00799,0.99357,0.84848,0.91694,0.5098,2.11098,0.93035,0.02276,0.0008615,0.0008615,0.0008615
48,340.69,1.33101,0.54428,0.00829,0.96348,0.87879,0.91861,0.51208,2.15621,0.90961,0.02341,0.00083675,0.00083675,0.00083675
49,347.838,1.21297,0.63889,0.00859,1,0.84598,0.93292,0.52889,2.09331,0.97124,0.02236,0.000812,0.000812,0.000812
50,354.727,1.14268,0.66338,0.00674,0.99222,0.84848,0.92609,0.51347,2.02162,0.96326,0.02121,0.00078725,0.00078725,0.00078725
51,361.651,1.31274,0.64535,0.00686,0.93525,0.87554,0.91389,0.49499,2.01389,1.01218,0.02085,0.0007625,0.0007625,0.0007625
52,368.73,1.03075,0.53353,0.0073,0.87801,0.87256,0.90832,0.49179,2.01685,0.96162,0.02055,0.00073775,0.00073775,0.00073775
53,375.912,1.17806,0.64771,0.00811,0.99412,0.84848,0.92836,0.53484,1.98327,1.04804,0.02077,0.000713,0.000713,0.000713
54,382.97,1.23317,0.59038,0.0076,0.93436,0.87879,0.93808,0.56889,1.93517,1.07636,0.01981,0.00068825,0.00068825,0.00068825
55,390.373,1.25991,0.54087,0.00711,0.99035,0.84848,0.9202,0.53761,1.93592,1.10724,0.01973,0.0006635,0.0006635,0.0006635
