epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,219.357,1.25363,2.10909,0.0066,0.85772,0.80531,0.88279,0.61389,1.05843,1.1594,0.00594,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215
2,406.105,1.15295,0.9368,0.00606,0.90398,0.85764,0.92253,0.66027,1.01819,0.67224,0.0054,0.0199006,0.00663352,0.0199006,0.00663352,0.0199006,0.00663352,0.0199006,0.00663352
3,585.2,1.16545,0.76537,0.00627,0.89996,0.85011,0.92114,0.63426,1.11501,0.63931,0.00665,0.0297687,0.00992289,0.0297687,0.00992289,0.0297687,0.00992289,0.0297687,0.00992289
4,766.71,1.1854,0.7072,0.00637,0.90209,0.86117,0.92682,0.65034,1.08497,0.60618,0.00647,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,954.502,1.14898,0.64425,0.006,0.92392,0.87317,0.93525,0.66531,1.0511,0.54646,0.00585,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1138.86,1.11133,0.60493,0.00589,0.92424,0.87912,0.93981,0.67727,1.00525,0.51797,0.00557,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1399.2,1.09594,0.58475,0.00575,0.91291,0.88392,0.93731,0.66355,1.06036,0.53757,0.00637,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1610.46,1.07317,0.56385,0.00562,0.93804,0.90998,0.95422,0.70544,0.96973,0.44834,0.00531,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1824.6,1.06068,0.54719,0.00549,0.93968,0.90282,0.95235,0.70751,0.96417,0.44862,0.00557,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2027.53,1.04633,0.53681,0.00541,0.92795,0.90751,0.95306,0.70594,0.95916,0.45966,0.00517,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2228.66,1.02795,0.52793,0.00528,0.93853,0.91121,0.95643,0.72542,0.92657,0.41186,0.00507,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2426.49,1.02111,0.51976,0.00526,0.9404,0.91499,0.95828,0.71162,0.96169,0.42352,0.00507,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
