hit_no,lock_to_click_ms,frames,fps,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,87.4542,5,57.1728,3.0372,11.5482,3.4236,0.0104,0.0055,0.0011,0.2013
2,372.1536,24,64.4895,3.0158,11.8984,0.1149,0.008,0.006,0.0014,0.1694
3,279.049,18,64.5048,2.8442,7.9198,2.2613,0.0104,0.0063,0.0012,0.1148
4,71.1367,5,70.2872,2.8846,13.4046,3.1983,0.0109,0.007,0.0014,0.1657
5,113.6311,8,70.4033,3.0841,11.7882,0.171,0.014,0.0064,0.0013,0.1969
6,81.2124,6,73.8803,2.9758,14.1176,0.3602,0.0119,0.0051,0.0015,0.2323
7,82.4877,6,72.7381,2.9749,13.0801,0.1268,0.0091,0.0041,0.0015,0.1035
8,218.0162,14,64.2154,2.2265,10.8884,0.1961,0.0095,0.0049,0.0013,0.5465
9,477.6796,30,62.8036,2.6535,12.3198,6.3977,0.0104,0.0058,0.0024,0.1203
10,736.7552,47,63.7932,2.3996,13.0434,0.3796,0.0107,0.0053,0.002,0.084
11,999.6254,63,63.0236,2.6294,11.7364,6.8299,0.011,0.0053,0.0018,0.14
12,250.491,18,71.8589,2.6812,10.0295,0.1351,0.0078,0.0046,0.0025,0.2052
13,500.5559,34,67.9245,2.6397,11.4254,0.2013,0.0092,0.0056,0.0022,0.112
14,750.9054,50,66.5863,2.7583,10.4251,0.1013,0.0074,0.0046,0.0014,0.1317
15,1005.0973,65,64.6704,2.3905,11.6543,0.2405,0.0109,0.0056,0.0014,0.1001
16,237.8012,16,67.2831,3.3901,12.9413,1.0216,0.0087,0.0057,0.0024,0.2783
17,109.0303,7,64.2023,2.6891,7.8449,0.626,0.0099,0.0068,0.0012,0.2403
18,15.5306,1,64.389,0.0,0.0,5.0391,0.0085,0.0057,0.0,0.0
19,208.1276,14,67.2664,3.4215,12.5285,7.2517,0.0124,0.0068,0.0016,0.2802
20,465.4133,31,66.6075,3.1255,11.6361,0.1089,0.0078,0.0044,0.002,0.1402
21,717.8962,47,65.4691,3.1816,11.9316,0.1367,0.0102,0.0056,0.0016,0.2128
22,969.3485,63,64.9921,3.0774,11.8262,0.2106,0.0106,0.0051,0.002,0.2354
23,221.6914,15,67.6616,2.9198,12.4448,0.5779,0.0103,0.0065,0.0032,0.2608
24,10.9684,1,91.171,0.0,0.0,0.9189,0.0071,0.006,0.0,0.0
25,106.5856,7,65.6749,3.0672,12.5481,0.1734,0.0091,0.006,0.0012,0.1305
26,363.0085,23,63.3594,3.2497,11.9439,0.6975,0.0287,0.0068,0.0019,0.1278
27,105.2148,8,76.0349,3.242,14.0579,0.4529,0.0088,0.0047,0.0012,0.216
28,10.931,1,91.4829,0.0,0.0,0.4857,0.0107,0.0069,0.0,0.0
29,104.8802,7,66.7428,2.8672,10.8715,0.1644,0.009,0.0048,0.0012,0.209
30,85.3242,5,58.6,2.9786,12.6929,6.4099,0.0125,0.0073,0.0021,0.1362
31,341.1662,22,64.4847,2.8054,7.8272,0.1085,0.0073,0.0045,0.0021,0.1072
32,90.9539,6,65.9675,2.6582,11.6692,0.4774,0.01,0.0079,0.0014,0.2243
33,356.916,23,64.4409,2.845,11.6204,0.9111,0.0111,0.0065,0.0021,0.2167
34,607.8367,39,64.162,2.9976,11.3022,1.4383,0.0097,0.0057,0.0023,0.2262
35,862.8455,55,63.7426,2.9335,8.1678,1.6855,0.0098,0.0062,0.0019,0.1314
36,116.7819,7,59.9408,2.9611,12.584,7.8591,0.0114,0.0063,0.0015,0.2194
37,373.2237,24,64.3046,3.0634,11.8554,0.1117,0.009,0.0054,0.002,0.1237
38,623.2664,40,64.178,2.7856,11.2743,0.199,0.0107,0.0055,0.0021,0.1251
39,880.4966,56,63.6005,2.9716,11.4861,1.8553,0.009,0.0059,0.0016,0.2954
40,136.9288,9,65.7276,3.2141,13.3322,0.1577,0.0093,0.006,0.0025,0.1649
