life_no,total_ms,frames,hits,grab_ms,yolo_ms,select_ms,mouse_ms,pid_ms,align_click_ms,move_ms
1,232.8525,4,1,65.6114,232.1441,1.7025,0.095,0.0628,16.2916,0.5755
2,1015.1981,65,3,173.5207,722.8192,14.9566,0.5786,0.3476,37.402,13.9184
3,1009.0555,64,4,187.3199,677.0328,15.6066,0.6041,0.3462,44.9774,10.8447
4,1017.1539,64,4,207.2306,692.378,14.6173,0.5301,0.3465,45.5172,11.5645
5,5508.1574,4,0,1946.5952,5299.2358,7.5291,0.0485,0.022,0.0071,0.8618
6,228.2607,6,0,62.2756,184.9606,19.9927,0.0459,0.0335,0.0089,1.013
7,33.6062,2,0,9.4766,35.1738,0.5039,0.0145,0.0134,0.0029,1.1444
8,59.5603,2,0,13.9084,48.0317,0.6039,0.0739,0.0123,0.003,0.7043
9,722.8057,45,3,139.9864,514.4054,11.0176,0.4165,0.2297,37.7595,10.1528
10,28.5731,1,0,6.3613,22.812,0.3541,0.0067,0.0064,0.0012,0.2449
11,1000.821,64,4,193.3447,718.5592,13.7508,0.5221,0.3302,44.6141,11.4552
12,744.6326,46,3,146.6796,540.4184,10.7027,0.4486,0.2366,33.4627,7.5585
13,896.1438,56,2,175.7519,684.5476,12.3908,0.6111,0.2959,22.3552,12.8969
14,79.1259,4,0,15.1477,65.9285,0.9751,0.0307,0.0194,0.006,1.145
15,33.4499,1,0,5.7304,25.9446,0.2058,0.0035,0.0047,0.0012,0.1835
16,63.5232,3,0,13.2651,53.1629,1.6109,0.0207,0.0163,0.0042,0.7302
17,31.9851,1,0,5.8656,26.8056,0.3487,0.0059,0.0061,0.0015,0.2366
18,92.7554,5,0,19.538,75.7974,1.3184,0.0403,0.0294,0.0077,1.2898
19,1009.7013,64,1,197.6143,752.6997,13.4006,0.5516,0.3234,11.0338,15.1812
20,1014.2776,64,1,201.1698,739.1653,20.7665,0.6638,0.3341,11.2335,16.3126
21,254.9001,16,1,67.8918,185.8929,6.2932,0.1239,0.0842,11.6695,3.5051
22,65.9071,3,0,12.833,45.8767,1.1117,0.0231,0.0157,0.0038,0.7348
23,1004.1531,63,2,201.8892,762.9488,13.8701,0.9153,0.3281,22.7703,14.8458
24,991.1225,59,1,187.9559,751.2891,14.8946,0.5287,0.3052,11.296,13.8728
25,550.0598,20,1,110.8871,395.4868,5.666,0.1578,0.1043,11.3028,4.9212
26,536.6357,1,0,102.3695,377.7733,0.331,0.0079,0.0058,0.0011,0.264
27,158.087,1,0,29.7289,107.2449,0.3151,0.0051,0.0054,0.0011,0.2305
28,566.9671,1,0,110.0887,392.043,0.4538,0.0057,0.0053,0.0013,0.1905
29,58.5667,2,0,12.3169,47.4972,0.4049,0.0116,0.0083,0.0028,0.5121
30,32.7097,1,0,6.2238,20.0394,0.5604,0.0071,0.0064,0.0013,0.2069
31,32.9364,1,0,6.1837,14.871,0.323,0.0048,0.0053,0.0014,0.2293
32,375.1068,20,1,78.0618,290.0117,6.1575,0.301,0.1093,12.1283,4.8181
33,3849.3279,29,2,739.511,2719.2914,8.1702,0.2527,0.1624,22.7485,7.3475
34,62.9949,2,0,11.7715,51.9469,0.8596,0.0193,0.0128,0.0028,0.5856
35,61.9155,3,0,12.0352,51.7148,1.1231,0.0217,0.0136,0.0034,0.7595
36,141.7792,3,0,26.8783,107.888,0.6918,0.022,0.0153,0.0041,0.5879
37,61.8846,2,0,12.44,51.3541,0.5946,0.0158,0.0146,0.0031,0.573
38,107.9621,4,0,20.2266,91.2679,1.166,0.0267,0.0224,0.0055,0.7859
39,34.2935,1,0,5.6711,26.0054,0.1774,0.0024,0.0039,0.0009,0.1405
40,29.6277,1,0,6.419,26.7334,0.3127,0.0065,0.0062,0.0012,0.2973
41,65.1868,1,0,13.4314,55.4294,0.5142,0.0042,0.0051,0.001,0.2062
42,142.5848,3,0,27.73,110.6974,0.5659,0.0204,0.0155,0.0042,0.6362
43,140.2965,5,0,27.9134,114.4206,1.7341,0.0332,0.0283,0.0065,1.0259
44,197.8266,6,0,31.9384,110.8505,8.1513,0.0717,0.0326,0.0077,3.5442
45,639.8712,2,0,128.6102,482.7259,0.9884,0.0171,0.0107,0.0029,0.4865
46,11142.0373,1,0,2448.8605,7020.6913,0.3301,0.0078,0.0048,0.0013,0.1887
47,848.9621,2,1,197.1437,727.9557,0.6352,0.0112,0.0097,14.0117,0.3525
48,79.3369,5,0,18.5489,76.3604,1.5487,0.0411,0.0278,0.0066,1.1403
49,192.9303,10,1,42.7254,143.8697,2.321,0.1313,0.0518,15.1609,2.2059
50,248.894,2,0,49.0412,188.921,0.9449,0.0133,0.0113,0.0045,0.4601
51,330.1691,2,0,65.6304,252.2631,0.7055,0.0136,0.0097,0.0028,0.4736
52,1256.6792,1,0,246.4671,921.4385,0.685,0.005,0.0053,0.0014,0.1281
53,330.2898,1,0,71.0749,271.3667,0.1983,0.0026,0.0048,0.0013,0.5697
54,156.7645,2,0,31.8268,113.656,0.914,0.0225,0.0102,0.0022,0.853
55,8694.2958,1,0,953.5979,3120.373,0.1903,0.0028,0.0044,0.0011,0.3196
56,233.2151,6,0,78.7212,218.114,12.4584,0.1089,0.0364,0.0088,1.4462
57,60.3372,4,0,20.4861,61.3803,1.7972,0.052,0.0228,0.0054,1.4369
58,29.2626,1,0,6.0201,22.9492,0.5205,0.0069,0.006,0.0012,0.3591
59,253.7468,15,1,48.0164,178.0566,3.8273,0.1855,0.0809,14.643,3.5361
60,62.209,3,0,11.7543,48.4487,0.6165,0.0226,0.0157,0.004,0.6788
61,96.3526,4,0,19.2123,68.4493,1.2824,0.0318,0.0232,0.0065,1.0171
62,582.1858,3,0,112.7355,401.7607,0.7033,0.0201,0.0146,0.0041,0.627
63,46.2403,2,0,8.7535,30.3047,0.3592,0.0144,0.0101,0.0027,0.3744
64,28.6705,1,0,5.5165,22.6301,0.2695,0.0049,0.0041,0.001,0.2417
65,49.9408,1,0,8.0867,30.3346,0.1872,0.0024,0.004,0.0009,0.3839
66,1142.1106,1,0,215.3766,777.4499,0.3239,0.0038,0.0052,0.0015,0.1261
67,845.1011,3,0,158.0207,551.3202,0.675,0.0155,0.0126,0.0031,0.6689
68,595.8414,1,0,112.7556,405.1287,0.1919,0.2459,0.0047,0.0017,0.2363
69,2804.6726,1,0,540.4802,1872.0727,0.4856,0.0058,0.0063,0.0012,0.205
70,2174.9046,2,0,419.8082,1495.1828,0.738,0.0091,0.0109,0.0022,0.3086
71,61.514,3,0,12.3113,46.1394,0.6711,0.0282,0.0151,0.0038,0.9513
72,46.0902,2,0,9.0963,29.0524,0.3449,0.0101,0.009,0.0023,0.4319
73,237.4863,9,0,46.4495,153.2225,2.3763,0.0697,0.0505,0.0118,2.1101
74,183.9552,9,1,36.1493,137.5368,2.2783,0.0841,0.0497,14.7108,2.0188
75,1007.1329,64,4,201.6049,724.1102,14.5942,0.6974,0.3415,44.3012,15.9059
76,1005.2896,64,3,198.5893,731.1952,13.1557,0.5314,0.3327,36.7359,15.2089
77,190.5786,11,1,37.1546,149.1782,2.3149,0.1036,0.0651,11.0077,3.7587
78,1032.512,1,0,190.0191,680.1266,0.2047,0.0633,0.0065,0.0015,0.2791
79,46.1317,2,0,7.5238,35.1618,0.4128,0.0118,0.0105,0.0024,0.3927
80,33.5006,1,0,5.509,13.9648,0.4662,0.0048,0.0054,0.0015,0.1656
81,29.3874,1,0,5.5413,13.93,0.4074,0.0098,0.0049,0.001,0.1985
82,711.3756,42,0,113.3128,452.7508,9.1308,0.3035,0.2201,0.0579,10.7402
83,716.6797,43,0,121.7971,457.4023,9.6058,0.404,0.2236,0.0615,10.3254
84,1336.9938,1,0,219.2681,830.9793,0.4677,0.0039,0.005,0.0012,0.1722
85,5971.681,1,0,978.4864,3545.2839,0.4464,0.0058,0.0045,0.0013,0.2475
86,59.4584,3,0,13.5139,48.2863,0.7819,0.0172,0.0155,0.0041,0.6058
87,31.9102,1,0,5.6422,25.7908,0.5644,0.0058,0.0068,0.0014,0.2268
88,62.4054,3,0,11.7657,43.6965,0.7439,0.0266,0.0167,0.0038,0.7135
89,33.0057,1,0,5.7464,18.7158,0.6733,0.0061,0.0058,0.0015,0.2081
90,203.9352,12,1,37.4277,145.2645,4.1003,0.0934,0.0686,14.6752,2.8814
91,78.5907,4,0,14.0106,61.802,1.1491,0.0304,0.0228,0.0056,1.0705
92,29.995,1,0,5.8388,25.3739,0.5225,0.0048,0.0047,0.0014,0.1868
93,315.2233,13,0,53.6604,233.2532,3.5258,0.1453,0.0763,0.02,3.5412
94,346.3262,19,2,62.8608,229.0099,5.3575,0.2418,0.1016,22.6293,5.7161
95,93.7867,1,0,18.9556,68.2546,0.4183,0.0033,0.0056,0.0012,0.2342
96,1351.2087,1,0,220.7805,869.2366,0.3049,0.0076,0.0057,0.0013,0.2144
97,941.6468,1,0,159.9454,603.7883,0.4899,0.0091,0.0047,0.0014,0.3122
98,4103.7854,1,0,657.5092,2506.1118,0.3912,0.0052,0.0047,0.0012,0.1726
99,110.3023,2,0,18.1003,73.7189,0.4593,0.0707,0.0104,0.0027,0.4546
100,206.0124,1,0,33.9458,150.4103,0.31,0.0069,0.0063,0.0016,0.1896
101,645.7891,3,0,102.7311,411.9769,0.7943,0.0214,0.0185,0.0043,0.7482
102,850.3572,1,0,142.9922,627.388,0.1812,0.0024,0.0039,0.0011,0.1643
103,29.095,1,0,4.9563,20.8839,0.3435,0.0059,0.0051,0.0012,0.1942
104,49.3003,1,0,7.1164,30.1947,0.4048,0.0051,0.0048,0.0014,0.1286
105,59.1135,3,0,10.5707,39.1825,0.5216,0.0163,0.0153,0.0038,0.7663
106,33.6921,1,0,4.9331,20.9779,0.6679,0.0091,0.0059,0.0016,0.1914
107,61.1623,2,0,10.5889,46.9077,0.5464,0.0103,0.0093,0.0023,0.8116
108,237.8606,13,1,41.8889,166.9309,3.8482,0.0898,0.0716,11.5174,3.5683
109,470.726,24,1,83.6148,312.0503,7.1984,0.1897,0.1334,11.2032,7.1182
110,141.0864,2,0,26.5109,80.8718,0.8219,0.0131,0.0114,0.0025,0.6419
111,5220.1011,3,0,240.0525,919.1863,0.9281,0.0208,0.0171,0.0041,0.7407
